rank,feature,corr_filter_raw,corr_filter_mrank,anova_f_raw,anova_f_mrank,mutual_info_raw,mutual_info_mrank,xgb_gain_raw,xgb_gain_mrank,rfe_rank_raw,rfe_rank_mrank,avg_rank
1,ch4_MFL,1.000000,1,518541.838542,1,0.478997,1,0.108807,1,68.800000,7,2.200000
2,ch4_MSR,0.200000,33,244909.653242,4,0.468076,2,0.020366,16,71.000000,1,11.200000
3,ch5_MFL,1.000000,1,313926.734253,3,0.416128,6,0.037565,6,63.000000,41,11.400000
4,ch4_RMS,0.200000,33,163863.524453,11,0.423487,3,0.025206,13,68.400000,8,13.600000
5,ch3_RMS,0.200000,33,141188.488428,16,0.375903,11,0.024540,14,69.400000,4,15.600000
6,ch4_DASDV,0.200000,33,157844.291289,13,0.415750,7,0.015772,22,69.800000,3,15.600000
7,ch4_IAV,0.000000,67,152447.051633,15,0.417793,5,0.030350,7,70.800000,2,19.200000
8,ch6_MFL,0.840000,28,241262.254203,5,0.369775,14,0.026195,9,63.200000,40,19.200000
9,ch7_MFL,1.000000,1,223439.235704,7,0.362836,16,0.012398,28,62.400000,44,19.200000
10,ch3_MFL,1.000000,1,392750.077528,2,0.414881,8,0.011742,32,60.200000,54,19.400000
11,ch4_LS,0.000000,67,158566.000098,12,0.421002,4,0.048542,3,68.200000,12,19.600000
12,ch3_MSR,0.200000,33,204020.393984,8,0.410294,9,0.006364,45,67.600000,15,22.000000
13,ch8_MFL,1.000000,1,200335.265193,9,0.346108,19,0.011825,31,61.400000,50,22.000000
14,ch2_RMS,0.200000,33,96058.080789,26,0.294133,32,0.037621,5,66.800000,20,23.200000
15,ch1_RMS,0.200000,33,97582.422336,25,0.282164,39,0.025664,12,68.400000,8,23.400000
16,ch2_MFL,1.000000,1,225698.771820,6,0.346553,18,0.008418,40,60.200000,54,23.800000
17,ch3_LS,0.000000,67,136974.761125,17,0.374922,12,0.027184,8,67.600000,15,23.800000
18,ch1_MFL,1.000000,1,194501.672246,10,0.340214,24,0.014562,25,59.000000,60,24.000000
19,ch2_LS,0.200000,33,94107.215035,29,0.292167,34,0.025689,11,67.400000,17,24.800000
20,ch3_IAV,0.000000,67,132198.918392,20,0.374173,13,0.015989,21,69.200000,5,25.200000
21,ch5_MSR,0.200000,33,155266.662396,14,0.392888,10,0.006586,42,64.800000,31,26.000000
22,ch5_RMS,0.200000,33,93664.413174,30,0.347205,17,0.014261,26,66.200000,25,26.200000
23,ch5_DASDV,0.200000,33,90961.957092,35,0.343310,23,0.016484,20,66.400000,22,26.600000
24,ch7_MSR,0.200000,33,121871.432122,22,0.330897,27,0.017045,19,64.600000,32,26.600000
25,ch8_RMS,0.200000,33,84307.468244,39,0.275503,46,0.040625,4,68.200000,12,26.800000
26,ch4_VAR,0.600000,31,90391.479746,36,0.331607,26,0.025815,10,63.600000,38,28.200000
27,ch1_LS,0.200000,33,95130.504893,28,0.281581,41,0.015526,23,67.200000,18,28.600000
28,ch2_MSR,0.200000,33,133421.105635,19,0.333586,25,0.019188,17,61.400000,50,28.800000
29,ch1_MSR,0.200000,33,122860.709042,21,0.319010,28,0.011965,30,64.600000,32,28.800000
30,ch7_RMS,0.200000,33,85447.085609,38,0.282006,40,0.021282,15,66.400000,22,29.600000
31,ch8_MSR,0.200000,33,113174.059353,24,0.314818,29,0.004981,49,66.400000,22,31.400000
32,ch7_LS,0.200000,33,83126.762976,40,0.278856,42,0.053520,2,62.800000,42,31.800000
33,ch3_DASDV,0.200000,33,135474.541729,18,0.367508,15,0.005205,48,61.800000,46,32.000000
34,ch6_MSR,0.040000,65,120682.634644,23,0.345103,21,0.006436,44,68.400000,8,32.200000
35,ch6_LS,0.200000,33,67292.077466,48,0.294790,31,0.006476,43,68.400000,8,32.600000
36,ch6_IAV,0.200000,33,66480.540324,49,0.292894,33,0.005304,47,69.200000,5,33.400000
37,ch5_LS,0.200000,33,91971.429024,33,0.346101,20,0.004401,53,65.600000,28,33.400000
38,ch5_IAV,0.200000,33,90170.576258,37,0.343693,22,0.004941,50,66.000000,27,33.800000
39,ch8_DASDV,0.200000,33,81890.688974,43,0.270572,49,0.012696,27,66.200000,25,35.400000
40,ch2_IAV,0.200000,33,91627.129769,34,0.290565,36,0.011120,34,62.600000,43,36.000000
41,ch1_DASDV,0.200000,33,95254.590463,27,0.277659,44,0.010285,36,61.600000,47,37.400000
42,ch5_VAR,1.000000,1,42838.245657,55,0.231257,51,0.009114,37,62.000000,45,37.800000
43,ch8_LS,0.040000,65,81205.033615,44,0.271681,48,0.017688,18,68.000000,14,37.800000
44,ch7_IAV,0.200000,33,80826.368916,45,0.275443,47,0.010885,35,65.400000,30,38.000000
45,ch6_RMS,0.200000,33,67894.864591,47,0.295178,30,0.012363,29,60.400000,53,38.400000
46,ch1_IAV,0.000000,67,92454.014527,32,0.277838,43,0.015096,24,65.600000,28,38.800000
47,ch3_VAR,0.600000,31,82319.366856,42,0.284200,38,0.011647,33,60.600000,52,39.200000
48,ch2_DASDV,0.200000,33,93304.347686,31,0.288870,37,0.008766,38,60.000000,57,39.200000
49,ch7_VAR,1.000000,1,47305.029379,54,0.214106,54,0.004924,51,63.400000,39,39.800000
50,ch1_VAR,0.800000,29,64074.144953,51,0.226050,52,0.008419,39,64.400000,34,41.000000
51,ch2_VAR,1.000000,1,59302.196294,52,0.211646,55,0.007610,41,59.800000,58,41.400000
52,ch6_DASDV,0.200000,33,64916.115358,50,0.290842,35,0.002723,57,64.200000,35,42.000000
53,ch7_DASDV,0.200000,33,82569.044502,41,0.276630,45,0.001992,59,64.200000,35,42.600000
54,ch3_WAMP,1.000000,1,25.722446,65,0.000560,70,0.001084,70,66.600000,21,45.400000
55,ch6_VAR,1.000000,1,27131.106523,56,0.181823,56,0.002798,56,59.000000,60,45.800000
56,ch8_VAR,0.640000,30,47371.491247,53,0.225155,53,0.005859,46,61.600000,47,45.800000
57,ch8_IAV,0.000000,67,78337.576494,46,0.267951,50,0.003055,55,67.000000,19,47.400000
58,ch5_ZC,1.000000,1,9702.762696,61,0.051666,59,0.004500,52,58.000000,64,47.400000
59,ch6_WAMP,1.000000,1,12.750622,69,0.000062,72,0.001548,64,64.200000,35,48.200000
60,ch5_WAMP,1.000000,1,15.835251,66,0.000885,68,0.001956,60,61.600000,47,48.400000
61,ch4_ZC,1.000000,1,13938.148680,57,0.056051,57,0.001899,61,57.800000,67,48.600000
62,ch6_ZC,1.000000,1,7318.423756,64,0.044160,63,0.003210,54,58.800000,62,48.800000
63,ch3_ZC,1.000000,1,10022.116905,60,0.051138,60,0.002302,58,57.600000,68,49.400000
64,ch8_ZC,1.000000,1,11071.487790,58,0.051971,58,0.001275,66,58.000000,64,49.400000
65,ch8_WAMP,1.000000,1,13.537608,68,0.001377,66,0.001239,67,60.200000,54,51.200000
66,ch7_ZC,1.000000,1,10178.734157,59,0.050360,61,0.001060,71,57.400000,69,52.200000
67,ch1_WAMP,1.000000,1,9.122361,70,0.001141,67,0.001863,62,58.200000,63,52.600000
68,ch7_WAMP,1.000000,1,13.969396,67,0.001862,65,0.001608,63,57.400000,69,53.000000
69,ch1_ZC,1.000000,1,9235.676572,62,0.046614,62,0.000678,72,57.200000,71,53.600000
70,ch2_ZC,1.000000,1,7675.630073,63,0.042633,64,0.001194,69,57.000000,72,53.800000
71,ch2_WAMP,1.000000,1,4.360999,72,0.000723,69,0.001233,68,59.200000,59,53.800000
72,ch4_WAMP,1.000000,1,9.091759,71,0.000546,71,0.001472,65,58.000000,64,54.400000
